Type,Frame,Fish1,Fish2
2,63,6,9
2,65,6,9
2,69,5,2
2,84,7,5
2,86,2,5
2,89,9,5
2,93,7,5
2,97,3,5
2,100,7,4
2,101,7,4
2,105,7,9
2,108,9,3
2,109,13,11
2,110,3,3
2,111,0,2
2,112,0,2
2,113,3,7
2,114,3,9
2,116,0,2
2,118,5,13
2,119,5,2
2,121,2,11
2,123,2,0
2,124,14,5
2,127,14,11
2,128,14,0
2,130,14,11
2,134,14,5
2,136,14,5
2,138,14,5
2,142,3,9
2,160,14,3
2,162,14,3
2,168,6,14
2,217,10,7
2,223,10,0
2,241,1,2
2,246,1,2
2,250,1,2
2,255,1,4
2,260,1,4
2,262,1,2
2,264,0,10
2,266,0,12
2,276,14,3
2,279,14,6
2,281,14,7
2,289,3,11
2,292,14,12
2,295,14,14
2,296,14,6
2,297,14,11
2,298,14,12
2,300,3,12
2,302,3,12
2,302,7,3
2,304,9,11
2,305,9,11
2,306,9,11
2,308,4,14
2,309,4,1
2,311,11,14
2,312,11,8
2,315,7,14
2,316,7,4
2,317,7,6
2,319,7,14
2,321,7,14
2,324,7,4
2,329,12,6
2,587,10,12
2,690,3,5
2,1000,2,1
2,1001,14,2
2,1004,12,14
2,1006,2,14
2,1008,2,5
2,1010,2,6
2,1040,2,9
2,1044,2,9
2,1051,1,4
2,1070,4,9
2,1075,6,13
2,1076,9,8
2,1088,1,9
2,1116,1,4
2,1119,9,5
2,1122,9,5
2,1128,9,5
2,1130,9,5
2,1132,9,5
2,1135,9,5
2,1137,9,10
2,1335,0,7
2,1353,14,12
2,1355,14,9
2,1366,14,4
2,1368,14,9
2,1370,1,5
2,1791,1,8
2,1793,1,8
2,1795,1,8
2,1797,1,0
2,1799,1,0
2,1801,1,0
2,1808,10,4
2,1822,10,0
2,1824,10,2
2,1831,1,13
2,1847,3,7
2,1853,1,0
2,1854,7,4
2,1880,7,10
2,1893,13,1
2,1905,1,2
2,1907,1,2
2,1912,1,0
2,2108,13,10
2,2275,5,7
2,2282,0,7
2,2284,0,13
2,2383,2,14
2,2470,3,2
2,2520,11,8
2,2526,7,8
2,2553,2,10
2,2558,2,10
2,3029,8,14
2,3040,11,8
2,3053,11,4
2,3083,10,4
2,3085,10,4
2,3089,10,4
2,3095,10,9
2,3102,4,11
2,3129,4,9
2,3175,3,2
2,3176,7,0
2,3186,7,5
