Type,Frame,Fish1,Fish2
-2,0,-1,-1
0,1,-1,-1
-1,50,-1,-1
0,52,-1,-1
-1,53,-1,-1
0,55,-1,-1
-1,55,-1,-1
0,61,-1,-1
-1,61,-1,-1
0,70,-1,-1
-1,71,-1,-1
2,72,10,9
2,109,0,1
2,110,0,4
2,112,0,1
2,113,0,4
2,114,0,4
2,115,0,4
2,115,9,13
2,116,0,4
2,116,9,6
2,117,0,4
2,119,13,2
2,120,13,6
2,122,13,2
2,124,13,2
2,137,2,10
2,141,2,10
0,151,-1,-1
-1,151,-1,-1
2,161,7,6
2,163,7,6
0,171,-1,-1
-1,171,-1,-1
0,182,-1,-1
-1,182,-1,-1
0,184,-1,-1
-1,184,-1,-1
1,185,4,-1
0,186,-1,-1
-1,226,-1,-1
0,228,-1,-1
-1,375,-1,-1
0,377,-1,-1
-1,378,-1,-1
0,380,-1,-1
-1,380,-1,-1
0,384,-1,-1
-1,384,-1,-1
0,387,-1,-1
-1,387,-1,-1
0,389,-1,-1
-1,410,-1,-1
2,411,9,3
0,412,-1,-1
-1,420,-1,-1
0,435,-1,-1
-1,436,-1,-1
2,438,2,11
0,443,-1,-1
-1,447,-1,-1
0,449,-1,-1
-1,496,-1,-1
0,601,-1,-1
-1,603,-1,-1
0,605,-1,-1
-1,612,-1,-1
2,614,10,3
0,619,-1,-1
-1,619,-1,-1
0,621,-1,-1
-1,621,-1,-1
0,623,-1,-1
-1,969,-1,-1
0,971,-1,-1
-1,1010,-1,-1
0,1012,-1,-1
-1,1014,-1,-1
0,1016,-1,-1
-1,1017,-1,-1
0,1019,-1,-1
-1,1030,-1,-1
0,1032,-1,-1
-1,1033,-1,-1
0,1035,-1,-1
-1,1035,-1,-1
0,1037,-1,-1
-1,1038,-1,-1
0,1041,-1,-1
-1,1108,-1,-1
0,1110,-1,-1
-1,1112,-1,-1
0,1114,-1,-1
-1,1123,-1,-1
0,1125,-1,-1
-1,1129,-1,-1
0,1135,-1,-1
-1,1137,-1,-1
0,1139,-1,-1
-1,1139,-1,-1
2,1142,10,2
0,1143,-1,-1
-1,1143,-1,-1
0,1145,-1,-1
-1,1145,-1,-1
0,1147,-1,-1
-1,1159,-1,-1
2,1161,10,2
2,1385,1,6
0,1435,-1,-1
-1,1435,-1,-1
2,1449,14,0
0,1458,-1,-1
-1,1458,-1,-1
0,1460,-1,-1
-1,1460,-1,-1
0,1463,-1,-1
-1,1463,-1,-1
0,1466,-1,-1
-1,1466,-1,-1
0,1469,-1,-1
-1,1472,-1,-1
0,1474,-1,-1
-1,1482,-1,-1
0,1484,-1,-1
-1,1484,-1,-1
0,1488,-1,-1
-1,1518,-1,-1
0,1520,-1,-1
-1,1524,-1,-1
0,1526,-1,-1
-1,1526,-1,-1
0,1529,-1,-1
-1,1530,-1,-1
2,1531,3,2
0,1532,-1,-1
-1,1541,-1,-1
2,1542,11,2
0,1543,-1,-1
-1,1543,-1,-1
0,1545,-1,-1
-1,1545,-1,-1
2,1546,7,3
0,1549,-1,-1
-1,1552,-1,-1
0,1554,-1,-1
-1,1555,-1,-1
2,1559,1,2
0,1560,-1,-1
-1,1561,-1,-1
0,1564,-1,-1
-1,1564,-1,-1
2,1575,10,3
2,1586,10,12
0,1609,-1,-1
-1,1612,-1,-1
0,1617,-1,-1
-1,1618,-1,-1
0,1620,-1,-1
-1,1629,-1,-1
0,1631,-1,-1
-1,1632,-1,-1
0,1636,-1,-1
-1,1667,-1,-1
0,1670,-1,-1
-1,1674,-1,-1
0,1676,-1,-1
-1,1676,-1,-1
2,1677,13,14
0,1681,-1,-1
-1,1681,-1,-1
0,1684,-1,-1
-1,1684,-1,-1
0,1686,-1,-1
-1,1720,-1,-1
0,1723,-1,-1
-1,1748,-1,-1
0,1750,-1,-1
-1,1751,-1,-1
0,1756,-1,-1
-1,1765,-1,-1
2,1769,1,7
2,1774,1,6
2,1852,10,6
2,1861,7,3
2,1863,10,6
0,1880,-1,-1
-1,1880,-1,-1
0,1886,-1,-1
-1,1886,-1,-1
0,1889,-1,-1
-1,1890,-1,-1
0,1892,-1,-1
-1,1892,-1,-1
0,1898,-1,-1
-1,1899,-1,-1
0,1901,-1,-1
-1,1903,-1,-1
0,1906,-1,-1
-1,1906,-1,-1
0,1920,-1,-1
-1,1921,-1,-1
2,1924,2,0
0,1925,-1,-1
-1,1925,-1,-1
0,1931,-1,-1
-1,1931,-1,-1
0,1945,-1,-1
-1,1951,-1,-1
0,1953,-1,-1
-1,1958,-1,-1
0,1960,-1,-1
-1,1965,-1,-1
0,1967,-1,-1
-1,1969,-1,-1
0,1985,-1,-1
-1,1987,-1,-1
2,1991,6,4
0,1996,-1,-1
-1,1996,-1,-1
0,1998,-1,-1
-1,1999,-1,-1
0,2001,-1,-1
-1,2001,-1,-1
0,2003,-1,-1
-1,2008,-1,-1
0,2010,-1,-1
-1,2021,-1,-1
0,2023,-1,-1
-1,2095,-1,-1
0,2097,-1,-1
-1,2137,-1,-1
0,2139,-1,-1
-1,2226,-1,-1
0,2229,-1,-1
-1,2237,-1,-1
0,2239,-1,-1
-1,2263,-1,-1
2,2269,8,0
0,2270,-1,-1
-1,2271,-1,-1
0,2274,-1,-1
-1,2274,-1,-1
0,2276,-1,-1
-1,2276,-1,-1
0,2278,-1,-1
-1,2285,-1,-1
0,2287,-1,-1
-1,2287,-1,-1
0,2289,-1,-1
-1,2340,-1,-1
0,2342,-1,-1
-1,2342,-1,-1
2,2343,3,10
2,2344,3,0
0,2345,-1,-1
-1,2345,-1,-1
2,2349,3,11
0,2350,-1,-1
-1,2350,-1,-1
2,2351,10,0
0,2352,-1,-1
-1,2353,-1,-1
0,2358,-1,-1
-1,2358,-1,-1
0,2362,-1,-1
-1,2362,-1,-1
0,2369,-1,-1
-1,2370,-1,-1
0,2373,-1,-1
-1,2399,-1,-1
0,2401,-1,-1
-1,2406,-1,-1
2,2407,13,3
0,2408,-1,-1
-1,2409,-1,-1
2,2412,13,11
2,2416,10,8
0,2417,-1,-1
-1,2418,-1,-1
0,2420,-1,-1
-1,2420,-1,-1
2,2422,11,8
0,2423,-1,-1
-1,2426,-1,-1
2,2427,8,4
0,2428,-1,-1
-1,2436,-1,-1
2,2437,11,14
0,2438,-1,-1
-1,2438,-1,-1
0,2440,-1,-1
-1,2440,-1,-1
0,2442,-1,-1
-1,2462,-1,-1
2,2463,2,8
0,2464,-1,-1
-1,2470,-1,-1
0,2479,-1,-1
-1,2479,-1,-1
0,2487,-1,-1
-1,2487,-1,-1
2,2490,6,1
0,2491,-1,-1
-1,2492,-1,-1
0,2494,-1,-1
-1,2496,-1,-1
0,2498,-1,-1
-1,2498,-1,-1
0,2500,-1,-1
-1,2500,-1,-1
2,2501,6,8
0,2502,-1,-1
-1,2507,-1,-1
0,2509,-1,-1
-1,2509,-1,-1
0,2511,-1,-1
