Type,Frame,Fish1,Fish2
2,100,1,3
2,114,9,13
2,115,2,14
2,118,5,6
2,121,13,2
2,123,13,2
2,136,2,10
2,147,6,5
2,162,7,6
2,164,7,12
2,618,10,1
2,1144,10,5
2,1236,9,0
2,1448,14,6
2,1519,11,2
2,1542,10,2
2,1544,7,2
2,1558,10,11
2,1584,10,3
2,1669,0,4
2,1680,13,6
2,1770,1,3
2,1794,10,2
2,1860,7,3
2,1866,3,6
2,1926,3,4
2,2341,3,10
2,2346,3,12
2,2351,3,7
2,2372,5,8
2,2411,9,6
2,2413,10,5
2,2422,8,14
2,2473,8,3
2,2493,2,13
2,2598,9,12
2,2601,9,7
2,3019,8,12
2,3584,14,10
2,3877,14,13
2,3996,7,0
2,4567,9,4
2,4583,3,4
2,4869,13,1
2,4923,0,4
2,5115,4,0
2,5128,8,10
2,5138,10,14
2,5152,6,8
2,5156,6,8
2,6041,0,2
2,6467,0,2
2,6473,2,3
2,6481,14,3
2,7707,2,9
2,7861,7,9
2,8071,9,1
2,8133,5,7
2,8135,7,6
2,8137,5,12
2,8138,7,1
2,10211,4,12
2,10523,12,2
2,10942,4,5
2,11092,8,4
2,11095,8,12
2,11124,4,5
2,12277,13,3
2,13040,11,8
2,13383,8,13
2,13402,14,13
2,14041,0,14
2,14070,14,7
2,14075,14,6
2,14235,1,11
2,14380,6,0
2,14385,2,6
2,14387,2,3
2,14406,13,11
2,14408,7,1
2,14410,13,7
2,15771,7,11
2,15832,14,0
2,17165,11,5
2,17715,2,10
