Type,Frame,Fish1,Fish2
2,87,10,9
2,437,3,12
2,655,13,8
2,739,6,4
2,1510,11,10
2,1689,12,9
2,2089,5,7
2,2091,5,4
2,2169,9,4
2,2722,4,3
2,2819,13,12
2,2869,3,2
2,3476,10,11
2,3505,2,12
2,3512,0,2
2,3514,0,11
2,3516,12,5
2,3532,10,6
2,3533,10,13
2,3537,4,1
2,3542,4,0
2,3688,7,4
2,4782,6,4
2,4791,6,4
2,5372,2,3
2,5442,11,4
2,5450,6,11
2,5453,11,3
2,5500,3,7
2,5507,8,14
2,5510,4,11
2,5540,9,12
2,5592,10,4
2,5594,13,4
2,5603,10,4
2,5621,5,0
2,5623,5,0
2,5672,4,2
2,5674,4,2
2,5742,2,3
2,5750,13,8
