Type,Frame,Fish1,Fish2
2,1387,10,6
2,1636,9,1
2,2656,2,6
2,2659,2,12
2,2661,2,12
2,2663,2,0
2,2665,2,5
2,2670,6,4
2,2673,6,0
2,3991,4,7
2,4027,3,8
2,4034,3,12
2,4054,8,12
2,4060,8,3
2,5359,9,4
2,6476,9,2
2,6480,9,2
2,7352,5,11
2,7568,7,0
2,7874,1,11
2,7876,1,5
2,10163,12,6
2,10353,1,11
2,10355,1,11
2,11353,12,13
2,11355,12,13
2,12020,10,5
2,12023,10,12
2,13457,2,14
2,13670,12,6
2,14060,2,12
2,14103,10,11
2,14198,13,10
2,14202,13,11
2,14206,13,7
2,14208,13,7
2,14210,13,11
2,14363,2,3
2,14610,14,12
2,14612,14,12
2,14628,14,6
2,14631,7,8
2,14634,14,7
2,14654,6,13
2,14656,6,5
2,14661,2,4
2,14662,2,4
2,14664,6,5
2,14667,2,3
2,14669,2,4
2,14692,8,3
2,14700,12,3
2,14881,14,9
2,14892,7,6
2,14917,5,6
2,14972,7,2
2,15080,11,5
2,15167,1,10
2,17148,1,9
2,17550,9,8
2,17623,9,4
2,17626,4,9
2,17628,9,2
2,18667,7,12
2,18919,3,13
