Type,Frame,Fish1,Fish2
-2,0,-1,-1
0,5066,-1,-1
-1,5071,-1,-1
0,5073,-1,-1
-1,5075,-1,-1
0,6002,-1,-1
-1,6002,-1,-1
1,6006,10,-1
0,6009,-1,-1
-1,6009,-1,-1
0,6029,-1,-1
-1,6030,-1,-1
1,6052,2,-1
1,8417,9,-1
1,11441,14,-1
1,12351,0,-1
0,12851,-1,-1
-1,12855,-1,-1
1,12858,3,-1
1,13186,0,-1
1,13189,0,-1
1,13772,6,-1
1,13773,6,-1
1,13811,6,-1
1,13831,6,-1
0,13970,-1,-1
-1,13973,-1,-1
0,14125,-1,-1
-1,14125,-1,-1
1,14136,1,-1
1,14138,0,-1
1,14139,0,-1
0,14143,-1,-1
-1,14146,-1,-1
1,14576,7,-1
1,14650,5,-1
1,14651,5,-1
1,15732,8,-1
1,15759,14,-1
0,15833,-1,-1
-1,15841,-1,-1
0,15843,-1,-1
-1,15855,-1,-1
0,15863,-1,-1
-1,15867,-1,-1
1,15960,11,-1
1,16030,7,-1
1,16031,8,-1
0,16088,-1,-1
-1,16089,-1,-1
0,16091,-1,-1
-1,16091,-1,-1
1,16108,5,-1
0,16173,-1,-1
-1,16173,-1,-1
1,16193,1,-1
1,16193,12,-1
1,16196,8,-1
0,16217,-1,-1
-1,16218,-1,-1
1,16227,7,-1
1,16289,14,-1
0,16291,-1,-1
-1,16294,-1,-1
1,16299,12,-1
1,16304,12,-1
0,17093,-1,-1
-1,17093,-1,-1
1,17268,8,-1
1,17291,10,-1
-2,18961,-1,-1
