Type,Frame,Fish1,Fish2
2,185,8,6
2,242,3,11
2,260,4,9
2,313,2,3
2,318,4,5
2,320,4,3
2,324,10,5
2,329,3,11
2,331,5,4
2,334,5,6
2,337,3,10
2,343,3,10
2,347,3,10
2,349,3,10
2,407,2,8
2,490,10,13
2,492,10,8
2,497,10,4
2,502,4,3
2,521,0,8
2,538,4,0
2,543,8,5
2,545,8,11
2,548,3,5
2,552,11,5
2,555,6,4
2,558,6,4
2,560,11,6
2,562,6,5
2,568,10,4
2,574,10,9
2,577,10,4
2,581,0,9
2,583,9,10
2,585,9,10
2,622,10,4
2,626,10,4
2,629,10,4
2,632,5,13
2,634,9,8
2,637,9,8
2,639,9,8
2,642,9,8
2,650,0,14
2,663,10,7
2,664,10,7
2,665,10,7
2,668,14,6
2,672,10,7
2,674,8,14
2,675,8,0
2,679,8,0
2,683,11,14
2,686,11,4
2,701,4,14
2,703,3,1
2,704,4,6
2,713,10,8
2,716,10,12
2,721,10,12
2,774,0,5
2,809,12,1
2,877,10,1
2,905,10,1
2,941,4,3
2,943,4,3
2,945,4,3
2,947,4,3
2,949,4,3
2,1050,1,4
2,1054,1,3
2,1059,1,3
2,1062,1,8
2,1636,8,5
2,1655,7,14
2,1797,6,4
2,1799,6,8
2,1801,6,1
2,1834,8,0
2,1844,8,0
2,1848,0,8
2,1851,0,8
2,1888,6,10
2,1890,6,7
2,1894,6,10
2,1896,5,0
2,1921,0,10
2,1923,6,5
2,1925,6,10
2,1927,6,5
2,1929,6,9
2,1934,6,5
2,1936,6,5
2,1938,6,5
2,1940,6,9
2,1942,6,9
2,1949,0,9
2,1952,0,1
2,1953,5,7
2,1955,14,6
2,1957,5,7
2,1959,5,7
2,1960,5,7
2,1962,5,7
2,1972,6,14
2,1985,6,1
2,1988,7,1
2,1992,8,11
2,1994,7,2
2,2001,14,2
2,2007,14,13
2,2010,0,9
2,2032,10,14
2,2035,10,12
2,2040,10,2
2,2047,10,11
2,2052,10,14
2,2058,6,9
2,2078,10,5
2,2080,11,5
2,2086,11,5
2,2088,11,14
2,2091,11,3
2,2179,9,13
2,2330,3,8
2,2336,3,14
2,2353,8,6
2,2375,14,8
2,2456,0,13
2,2486,2,9
2,2488,6,3
2,2490,8,2
2,2814,10,1
2,2816,10,1
2,2818,10,14
2,2888,12,11
2,2890,12,11
2,2900,7,11
2,2915,1,11
2,2918,1,0
2,2948,10,1
2,2954,7,0
2,2957,1,3
2,2959,7,1
2,2961,8,0
2,2963,1,3
2,2965,1,3
2,2967,1,10
2,2973,7,1
2,2975,7,1
2,2978,7,0
2,2982,3,11
2,2984,10,14
2,2986,10,3
2,2990,7,11
2,3015,3,14
2,3020,3,7
2,3025,6,7
2,3070,1,6
2,3076,3,11
2,3134,3,11
2,3139,6,11
2,3142,6,11
2,3145,7,12
2,3146,6,8
2,3147,6,8
2,3149,6,11
2,3174,6,5
2,3202,6,0
2,3205,5,6
2,3230,10,3
2,3234,10,3
2,3237,10,8
2,3251,6,3
2,3266,0,8
2,3337,2,13
2,3339,2,13
2,3411,11,1
2,3414,7,1
2,3464,3,13
2,3466,3,5
2,3507,4,14
2,3517,5,10
2,3518,4,14
2,3520,5,13
2,3524,2,7
2,3525,5,0
2,3531,5,12
2,3533,5,0
2,3535,5,0
2,3537,5,0
2,3550,3,5
2,3559,3,5
2,3564,3,8
2,3566,3,14
2,3568,8,8
2,3575,8,4
2,3579,0,9
2,3580,2,8
2,3610,5,10
2,3616,13,7
2,3634,2,1
2,3639,2,13
2,3643,13,1
2,3648,6,0
2,3653,5,3
2,3657,6,7
2,3675,6,3
2,3677,6,3
2,3680,6,5
2,3689,6,5
2,3694,6,5
2,3697,6,4
2,3698,6,5
2,3700,8,4
2,3704,9,7
2,3710,7,11
2,3712,7,11
2,3716,9,7
2,3718,9,7
2,3720,9,7
2,3726,6,12
2,3730,4,2
2,3731,4,12
2,3733,6,12
2,3735,2,13
2,3737,2,12
2,3738,7,9
2,3739,7,9
2,3740,7,9
2,3743,2,12
2,3744,7,5
2,3745,7,5
2,3746,7,5
2,3747,7,9
2,3748,7,5
2,3749,7,5
2,3773,6,2
2,3776,6,2
2,3824,13,9
2,3922,8,10
2,4207,9,13
2,4225,2,3
2,4229,7,3
2,4298,14,7
2,4313,5,7
2,4315,5,7
2,4317,5,7
2,4319,13,7
2,4322,13,7
2,4324,13,7
2,4326,13,3
2,4339,13,3
2,4345,13,12
2,4346,14,7
2,4348,14,7
2,4350,14,7
2,4353,7,2
2,4355,14,13
2,4361,7,2
2,4362,13,3
2,4365,13,14
2,4367,6,3
2,4370,6,3
2,4372,6,3
2,4375,6,3
2,4381,6,13
2,4383,6,5
2,4388,9,13
2,4399,0,3
2,4401,0,1
2,4403,6,10
2,4406,6,9
2,4408,6,10
2,4443,5,3
2,4447,3,8
2,4450,3,12
2,4455,5,14
2,4460,3,5
2,4461,3,5
2,4465,3,8
2,4482,1,5
2,4489,9,5
2,4494,9,1
2,4540,13,10
2,4552,14,13
2,4559,14,13
2,4561,14,13
2,4563,14,5
2,4566,14,5
2,4568,14,5
2,4572,12,9
2,4640,5,1
2,4654,1,6
2,4667,14,10
2,4721,10,8
2,4724,14,0
2,4726,14,0
2,4748,0,10
2,4751,0,14
2,4752,0,8
2,4753,0,5
2,4754,10,2
2,4755,10,2
2,4757,10,9
2,4758,10,0
2,4759,10,6
2,4760,10,8
2,4762,0,14
2,4763,5,1
2,4764,10,8
2,4765,10,8
2,4767,5,14
2,4770,10,8
2,4771,14,1
2,4773,5,2
2,4775,5,2
2,4787,6,0
2,4789,6,0
2,4791,6,0
2,4793,6,0
2,4795,0,6
2,4798,0,2
2,4800,0,2
2,4803,8,9
2,4805,0,9
2,4807,0,9
2,4814,6,5
2,4815,8,2
2,4816,8,2
2,4818,12,4
2,4820,8,11
2,4821,8,11
2,4827,1,6
2,4833,12,1
2,4834,12,14
2,4835,12,14
2,4836,12,14
2,4838,12,8
2,4840,7,8
2,4842,12,8
2,4843,8,10
2,4846,4,7
2,4848,1,12
2,4849,1,8
2,4849,6,8
2,4851,1,11
2,4853,1,8
2,4854,1,8
2,4856,7,0
2,4862,7,0
2,4863,7,0
2,4867,7,11
2,4879,1,11
2,4882,6,11
2,4891,5,9
2,4896,5,2
2,4897,1,11
2,4898,5,8
2,4898,11,9
2,4925,0,5
2,4935,0,7
2,4936,11,2
2,4938,13,14
2,4939,11,1
2,4942,10,1
2,4943,10,5
2,4945,11,1
2,4956,11,2
2,4982,3,12
2,4985,14,13
2,5004,3,6
2,5009,3,12
2,5023,4,1
2,5029,12,10
2,5043,8,6
2,5055,8,14
2,5072,10,2
2,5076,3,10
2,5080,3,10
2,5086,3,9
2,5088,3,0
2,5091,4,0
2,5093,4,0
2,5095,4,0
2,5098,3,10
2,5102,4,0
2,5104,3,4
2,5106,3,0
2,5108,3,0
2,5109,14,10
2,5113,4,10
2,5116,14,5
2,5118,13,5
2,5121,9,1
2,5124,8,0
2,5128,8,10
2,5131,3,10
2,5136,8,0
2,5139,8,14
2,5147,5,3
2,5149,9,0
2,5153,5,1
2,5161,12,1
2,5163,14,12
2,5171,5,10
2,5175,5,7
2,5179,14,6
2,5183,14,3
2,5186,14,3
2,5191,13,10
2,5193,5,11
2,5195,5,11
2,5197,5,11
2,5242,10,6
2,5827,14,10
2,5829,14,9
2,5831,14,9
2,5834,14,9
2,5885,10,8
2,5904,1,4
2,5906,6,4
2,5910,6,10
2,5911,6,2
2,5914,1,12
2,5955,8,1
2,5959,8,1
2,5962,11,14
2,5963,2,13
2,5969,14,6
2,5976,13,4
2,5981,6,12
2,5984,6,3
2,5991,6,1
2,6001,6,14
2,6006,6,0
2,6008,6,0
2,6013,6,0
2,6044,14,5
2,6071,14,5
2,6080,6,2
2,6107,2,0
2,6108,2,0
2,6110,2,0
2,6112,2,0
2,6114,2,0
2,6149,10,5
2,6206,14,8
2,6208,14,8
2,6213,5,8
2,6215,5,8
2,6216,5,0
2,6218,5,2
2,6223,5,10
2,6225,5,10
2,6229,7,10
2,6294,8,7
2,6296,8,10
2,6326,14,8
2,6401,7,14
2,6404,0,0
2,6406,14,1
2,6411,11,6
2,6414,2,5
2,6415,2,1
2,6416,2,1
2,6417,2,5
2,6418,2,5
2,6421,0,10
2,6422,3,10
2,6424,3,0
2,6427,3,10
2,6429,3,10
2,6430,11,7
2,6433,3,11
2,6435,3,9
2,6436,3,0
2,6439,3,0
2,6441,10,1
2,6446,9,10
2,6452,10,9
2,6458,4,5
2,6462,14,9
2,6467,10,3
2,6486,8,0
2,6489,7,9
2,6500,7,9
2,6501,7,14
2,6502,9,2
2,6504,10,0
2,6508,9,14
2,6511,9,10
2,6513,9,10
2,6519,9,14
2,6532,11,2
2,6540,2,5
2,6546,0,8
2,6547,2,12
2,6556,11,10
2,6558,11,0
2,6586,0,10
2,6587,6,12
2,6591,0,1
2,6597,0,3
2,6607,14,1
2,6627,7,9
2,6639,10,0
2,6644,10,7
2,6666,7,8
2,6690,0,5
2,6692,0,1
