Type,Frame,Fish1,Fish2
-2,0,-1,-1
0,173,-1,-1
-1,173,-1,-1
0,175,-1,-1
-1,177,-1,-1
1,183,0,-1
2,184,8,6
2,186,8,7
2,243,3,11
2,261,4,11
2,317,2,3
2,319,4,11
2,321,4,5
2,322,4,5
0,325,-1,-1
-1,325,-1,-1
2,328,3,10
0,330,-1,-1
-1,330,-1,-1
2,331,3,4
2,332,3,5
2,332,5,2
2,333,3,5
2,334,3,11
2,335,3,11
2,336,3,11
2,337,12,2
2,338,3,11
2,339,3,10
2,346,3,10
2,348,3,10
2,350,3,5
1,405,3,-1
2,408,2,8
2,440,4,12
2,441,4,6
0,478,-1,-1
-1,479,-1,-1
2,491,10,13
2,493,10,12
2,494,10,12
2,498,11,8
2,503,4,5
2,506,0,8
2,535,0,11
2,539,8,11
0,540,-1,-1
-1,540,-1,-1
2,544,8,5
2,547,3,5
2,549,3,5
2,553,11,4
2,555,11,2
2,556,6,4
2,557,6,4
0,559,-1,-1
-1,559,-1,-1
2,560,6,5
2,561,6,5
2,561,11,2
2,563,6,4
2,565,11,2
2,566,11,2
1,567,6,-1
2,567,11,2
2,570,10,4
2,571,10,13
2,572,10,13
0,573,-1,-1
-1,573,-1,-1
2,575,10,8
2,578,10,8
0,579,-1,-1
-1,579,-1,-1
2,582,9,12
2,584,9,10
2,586,9,3
2,623,10,4
2,624,10,3
2,625,10,3
2,629,5,13
2,630,0,8
2,633,5,6
2,633,9,10
2,634,5,8
2,635,5,8
2,636,9,10
2,638,9,8
2,641,9,10
2,643,9,8
0,644,-1,-1
-1,644,-1,-1
0,646,-1,-1
-1,649,-1,-1
2,650,10,14
0,651,-1,-1
-1,661,-1,-1
1,662,0,-1
2,662,10,14
2,662,14,6
2,663,14,5
2,664,0,10
2,665,0,10
0,666,-1,-1
-1,667,-1,-1
2,668,3,5
0,669,-1,-1
-1,671,-1,-1
2,672,5,0
2,673,5,14
2,674,10,0
2,675,11,14
2,676,8,13
2,676,11,8
2,677,8,13
2,677,10,0
2,677,11,8
0,678,-1,-1
-1,678,-1,-1
2,680,8,0
2,681,8,6
2,684,11,13
0,693,-1,-1
-1,693,-1,-1
0,696,-1,-1
-1,699,-1,-1
2,700,4,8
2,702,4,4
2,703,4,11
2,712,10,13
2,715,10,13
2,718,10,13
2,720,10,13
2,735,0,5
2,782,11,2
2,806,0,10
2,808,12,11
2,810,12,1
2,824,0,10
2,887,7,3
0,893,-1,-1
-1,893,-1,-1
0,895,-1,-1
-1,895,-1,-1
2,899,4,11
2,900,4,12
2,901,4,10
0,902,-1,-1
-1,902,-1,-1
2,903,4,11
2,904,4,11
2,906,10,1
2,921,10,4
2,940,4,5
2,942,4,3
2,944,4,3
2,946,4,3
2,948,4,3
2,950,4,8
2,951,4,1
2,957,4,8
2,964,4,10
2,1051,1,3
2,1052,1,3
2,1053,1,3
2,1056,1,8
2,1061,1,8
1,1062,8,-1
1,1075,7,-1
1,1076,7,-1
2,1605,2,6
2,1612,2,6
2,1634,8,0
2,1635,8,5
0,1642,-1,-1
-1,1642,-1,-1
2,1652,7,13
2,1658,7,6
2,1798,11,3
2,1800,6,1
2,1827,11,4
2,1831,13,10
2,1832,13,8
2,1835,8,0
2,1846,8,0
2,1847,0,1
2,1849,0,8
0,1883,-1,-1
-1,1883,-1,-1
2,1887,6,7
2,1889,6,7
2,1893,6,7
2,1895,5,0
2,1920,6,1
2,1922,6,5
2,1924,6,5
2,1926,6,5
2,1928,6,10
2,1930,6,10
2,1931,6,9
2,1932,6,9
2,1933,6,10
2,1935,6,10
2,1937,6,5
2,1939,6,9
2,1941,6,10
2,1943,0,10
2,1950,0,1
2,1952,5,6
2,1953,0,6
2,1954,5,7
2,1956,5,10
2,1958,5,7
2,1959,14,2
2,1961,5,7
2,1965,14,1
2,1968,14,1
2,1969,14,1
2,1975,0,9
2,1985,10,8
2,1987,10,13
0,1989,-1,-1
-1,1990,-1,-1
2,1991,14,10
2,1992,7,2
2,1993,6,1
2,1993,7,2
2,1995,9,2
2,1998,7,2
1,1999,1,-1
2,1999,14,2
2,2000,7,9
2,2001,7,9
2,2002,7,6
0,2003,-1,-1
-1,2003,-1,-1
2,2004,7,14
2,2005,14,2
2,2006,14,2
1,2008,3,-1
2,2008,14,13
2,2009,14,2
2,2011,14,2
2,2012,14,9
2,2013,14,9
2,2014,14,9
2,2028,10,3
2,2030,11,3
2,2033,10,1
0,2034,-1,-1
-1,2034,-1,-1
0,2036,-1,-1
-1,2036,-1,-1
2,2037,10,6
0,2038,-1,-1
-1,2039,-1,-1
0,2041,-1,-1
-1,2046,-1,-1
2,2047,2,0
0,2048,-1,-1
-1,2050,-1,-1
2,2051,10,13
2,2054,4,3
2,2061,14,10
0,2074,-1,-1
-1,2076,-1,-1
2,2077,10,12
2,2079,10,12
2,2081,11,12
2,2082,11,4
2,2083,11,4
2,2084,11,4
2,2087,11,14
2,2091,5,4
2,2092,5,12
0,2129,-1,-1
-1,2130,-1,-1
0,2135,-1,-1
-1,2135,-1,-1
1,2150,11,-1
1,2151,11,-1
0,2204,-1,-1
-1,2204,-1,-1
0,2206,-1,-1
-1,2206,-1,-1
1,2229,12,-1
0,2230,-1,-1
-1,2230,-1,-1
2,2278,12,7
2,2279,12,4
0,2316,-1,-1
-1,2316,-1,-1
2,2329,3,14
2,2332,3,8
2,2334,3,14
2,2337,3,8
2,2362,8,6
2,2373,14,8
2,2377,14,6
2,2460,9,13
2,2487,6,4
2,2489,8,4
2,2491,6,13
2,2803,7,4
2,2815,10,1
2,2817,10,12
2,2886,12,2
2,2887,12,2
2,2889,12,11
2,2898,7,11
2,2912,2,13
2,2916,1,0
2,2947,10,3
2,2949,10,0
0,2950,-1,-1
-1,2950,-1,-1
1,2951,7,-1
0,2953,-1,-1
-1,2953,-1,-1
0,2955,-1,-1
-1,2955,-1,-1
2,2956,7,11
2,2957,7,1
2,2958,7,0
